"year","sggcd","type","class1","class2","unit","value"
2015,"32050","economy","grdp","gross regional domestic product at market prices","million KRW",912119
2015,"32060","economy","grdp","gross regional domestic product at market prices","million KRW",1401515
2015,"32070","economy","grdp","gross regional domestic product at market prices","million KRW",2668720
2015,"32310","economy","grdp","gross regional domestic product at market prices","million KRW",2109757
2015,"32320","economy","grdp","gross regional domestic product at market prices","million KRW",1519023
2015,"32330","economy","grdp","gross regional domestic product at market prices","million KRW",1153672
2015,"32340","economy","grdp","gross regional domestic product at market prices","million KRW",1406792
2015,"32350","economy","grdp","gross regional domestic product at market prices","million KRW",1212651
2015,"32360","economy","grdp","gross regional domestic product at market prices","million KRW",1556122
2015,"32370","economy","grdp","gross regional domestic product at market prices","million KRW",1134705
2015,"32380","economy","grdp","gross regional domestic product at market prices","million KRW",768477
2015,"32390","economy","grdp","gross regional domestic product at market prices","million KRW",1260772
2015,"32400","economy","grdp","gross regional domestic product at market prices","million KRW",900623
2015,"32410","economy","grdp","gross regional domestic product at market prices","million KRW",861852
2015,"32010","economy","grdp","net taxes on products","million KRW",404172
2015,"32020","economy","grdp","net taxes on products","million KRW",609463
2015,"32030","economy","grdp","net taxes on products","million KRW",339813
2015,"32040","economy","grdp","net taxes on products","million KRW",204809
2015,"32050","economy","grdp","net taxes on products","million KRW",59795
2015,"32060","economy","grdp","net taxes on products","million KRW",96522
2015,"32070","economy","grdp","net taxes on products","million KRW",197212
2015,"32310","economy","grdp","net taxes on products","million KRW",143036
2015,"32320","economy","grdp","net taxes on products","million KRW",121990
2015,"32330","economy","grdp","net taxes on products","million KRW",86233
2015,"32340","economy","grdp","net taxes on products","million KRW",95745
2015,"32350","economy","grdp","net taxes on products","million KRW",79181
2015,"32360","economy","grdp","net taxes on products","million KRW",97502
2015,"32370","economy","grdp","net taxes on products","million KRW",62419
2015,"32380","economy","grdp","net taxes on products","million KRW",43142
2015,"32390","economy","grdp","net taxes on products","million KRW",73952
2015,"32400","economy","grdp","net taxes on products","million KRW",56601
2015,"32410","economy","grdp","net taxes on products","million KRW",57129
2015,"32010","economy","grdp","total value added at basic prices","million KRW",6056053
2015,"32020","economy","grdp","total value added at basic prices","million KRW",7392790
2015,"32030","economy","grdp","total value added at basic prices","million KRW",4400553
2015,"32040","economy","grdp","total value added at basic prices","million KRW",2593531
2015,"32050","economy","grdp","total value added at basic prices","million KRW",852324
2015,"32060","economy","grdp","total value added at basic prices","million KRW",1304992
2015,"32070","economy","grdp","total value added at basic prices","million KRW",2471508
2015,"32310","economy","grdp","total value added at basic prices","million KRW",1966721
2015,"32320","economy","grdp","total value added at basic prices","million KRW",1397033
2015,"32330","economy","grdp","total value added at basic prices","million KRW",1067439
2015,"32340","economy","grdp","total value added at basic prices","million KRW",1311047
2015,"32350","economy","grdp","total value added at basic prices","million KRW",1133471
2015,"32360","economy","grdp","total value added at basic prices","million KRW",1458620
2015,"32370","economy","grdp","total value added at basic prices","million KRW",1072286
2015,"32380","economy","grdp","total value added at basic prices","million KRW",725335
2015,"32390","economy","grdp","total value added at basic prices","million KRW",1186820
2015,"32400","economy","grdp","total value added at basic prices","million KRW",844022
2015,"32410","economy","grdp","total value added at basic prices","million KRW",804723
2015,"32010","economy","grdp","agriculture, forestry and fishing","million KRW",147103
2015,"32020","economy","grdp","agriculture, forestry and fishing","million KRW",109324
2015,"32030","economy","grdp","agriculture, forestry and fishing","million KRW",113290
2015,"32040","economy","grdp","agriculture, forestry and fishing","million KRW",21305
2015,"32050","economy","grdp","agriculture, forestry and fishing","million KRW",14856
2015,"32060","economy","grdp","agriculture, forestry and fishing","million KRW",27668
2015,"32070","economy","grdp","agriculture, forestry and fishing","million KRW",105742
2015,"32310","economy","grdp","agriculture, forestry and fishing","million KRW",270169
2015,"32320","economy","grdp","agriculture, forestry and fishing","million KRW",280493
2015,"32330","economy","grdp","agriculture, forestry and fishing","million KRW",72436
2015,"32340","economy","grdp","agriculture, forestry and fishing","million KRW",222164
2015,"32350","economy","grdp","agriculture, forestry and fishing","million KRW",138826
2015,"32360","economy","grdp","agriculture, forestry and fishing","million KRW",221412
2015,"32370","economy","grdp","agriculture, forestry and fishing","million KRW",64168
2015,"32380","economy","grdp","agriculture, forestry and fishing","million KRW",92866
2015,"32390","economy","grdp","agriculture, forestry and fishing","million KRW",85129
2015,"32400","economy","grdp","agriculture, forestry and fishing","million KRW",68241
2015,"32410","economy","grdp","agriculture, forestry and fishing","million KRW",50029
2015,"32010","economy","grdp","mining and quarrying","million KRW",35685
2015,"32020","economy","grdp","mining and quarrying","million KRW",147760
2015,"32030","economy","grdp","mining and quarrying","million KRW",51062
2015,"32040","economy","grdp","mining and quarrying","million KRW",39736
2015,"32050","economy","grdp","mining and quarrying","million KRW",30570
2015,"32060","economy","grdp","mining and quarrying","million KRW",NA
2015,"32070","economy","grdp","mining and quarrying","million KRW",316310
2015,"32310","economy","grdp","mining and quarrying","million KRW",6709
2015,"32320","economy","grdp","mining and quarrying","million KRW",11812
2015,"32330","economy","grdp","mining and quarrying","million KRW",77078
2015,"32340","economy","grdp","mining and quarrying","million KRW",6062
