"sggcd","type","class1","class2","unit","value","year"
"110014","medicine","doctors","dermatology","persons",12,2010
"110014","medicine","doctors","urology","persons",10,2010
"110014","medicine","doctors","radiology","persons",22,2010
"110014","medicine","doctors","radiation oncology","persons",1,2010
"110014","medicine","doctors","pathology","persons",9,2010
"110014","medicine","doctors","clinical laboratory medicine","persons",12,2010
"110014","medicine","doctors","tuberculosis","persons",2,2010
"110014","medicine","doctors","rehabilitation medicine","persons",6,2010
"110014","medicine","doctors","nuclear medicine","persons",0,2010
"110014","medicine","doctors","family medicine","persons",26,2010
"110014","medicine","doctors","emergency medicine","persons",6,2010
"110014","medicine","doctors","occupational and environmental medicine","persons",2,2010
"110014","medicine","doctors","preventive medicine","persons",0,2010
"110015","medicine","doctors","total","persons",411,2010
"110015","medicine","doctors","internal medicine","persons",64,2010
"110015","medicine","doctors","neurology","persons",8,2010
"110015","medicine","doctors","psychiatry","persons",19,2010
"110015","medicine","doctors","surgery","persons",31,2010
"110015","medicine","doctors","orthopedics","persons",30,2010
"110015","medicine","doctors","neurosurgery","persons",12,2010
"110015","medicine","doctors","thoracic and cardiovascular surgery","persons",3,2010
"110015","medicine","doctors","plastic surgery","persons",2,2010
"110015","medicine","doctors","anesthesiology and pain medicine","persons",12,2010
"110015","medicine","doctors","obstetrics and gynecology","persons",42,2010
"110015","medicine","doctors","pediatrics","persons",41,2010
"110015","medicine","doctors","ophthalmology","persons",16,2010
"110015","medicine","doctors","otorhinolaryngology","persons",27,2010
"110015","medicine","doctors","dermatology","persons",13,2010
"110015","medicine","doctors","urology","persons",11,2010
"110015","medicine","doctors","radiology","persons",11,2010
"110015","medicine","doctors","radiation oncology","persons",1,2010
"110015","medicine","doctors","pathology","persons",1,2010
"110015","medicine","doctors","clinical laboratory medicine","persons",3,2010
"110015","medicine","doctors","tuberculosis","persons",5,2010
"110015","medicine","doctors","rehabilitation medicine","persons",14,2010
"110015","medicine","doctors","nuclear medicine","persons",0,2010
"110015","medicine","doctors","family medicine","persons",43,2010
"110015","medicine","doctors","emergency medicine","persons",2,2010
"110015","medicine","doctors","occupational and environmental medicine","persons",0,2010
"110015","medicine","doctors","preventive medicine","persons",0,2010
"110016","medicine","doctors","total","persons",989,2010
"110016","medicine","doctors","internal medicine","persons",203,2010
"110016","medicine","doctors","neurology","persons",27,2010
"110016","medicine","doctors","psychiatry","persons",63,2010
"110016","medicine","doctors","surgery","persons",67,2010
"110016","medicine","doctors","orthopedics","persons",45,2010
"110016","medicine","doctors","neurosurgery","persons",39,2010
"110016","medicine","doctors","thoracic and cardiovascular surgery","persons",22,2010
