sggcd,sggnm_kr,population_total,population_nonrelative_total,population_male,population_nonrelative_male,population_female,population_nonrelative_female,,sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year
33042,서원구,181581,3853,90168,2105,91413,1748,,충청북도,청주시 서원구,청주시 ,서원구,Chungcheongbuk-do,Cheongju-si,Seowon-gu,Seowon-gu Cheongju-si,Seowon-gu Cheongju-si Chungcheongbuk-do,2020
33043,흥덕구,265269,6882,133766,3854,131503,3028,,충청북도,청주시 흥덕구,청주시 ,흥덕구,Chungcheongbuk-do,Cheongju-si,Heungdeok-gu,Heungdeok-gu Cheongju-si,Heungdeok-gu Cheongju-si Chungcheongbuk-do,2020
33044,청원구,184843,4565,94681,2599,90162,1966,,충청북도,청주시 청원구,청주시 ,청원구,Chungcheongbuk-do,Cheongju-si,Cheongwon-gu,Cheongwon-gu Cheongju-si,Cheongwon-gu Cheongju-si Chungcheongbuk-do,2020
33520,보은군,28784,720,14288,375,14496,345,,충청북도,보은군,보은군,보은군,Chungcheongbuk-do,Boeun-gun,Boeun-gun,Boeun-gun,Boeun-gun Chungcheongbuk-do,2020
33530,옥천군,45297,1047,22723,567,22574,480,,충청북도,옥천군,옥천군,옥천군,Chungcheongbuk-do,Okcheon-gun,Okcheon-gun,Okcheon-gun,Okcheon-gun Chungcheongbuk-do,2020
33540,영동군,41714,1099,20830,585,20884,514,,충청북도,영동군,영동군,영동군,Chungcheongbuk-do,Yeongdong-gun,Yeongdong-gun,Yeongdong-gun,Yeongdong-gun Chungcheongbuk-do,2020
33550,진천군,82000,2910,43096,1834,38904,1076,,충청북도,진천군,진천군,진천군,Chungcheongbuk-do,Jincheon-gun,Jincheon-gun,Jincheon-gun,Jincheon-gun Chungcheongbuk-do,2020
33560,괴산군,34094,1231,17471,698,16623,533,,충청북도,괴산군,괴산군,괴산군,Chungcheongbuk-do,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun Chungcheongbuk-do,2020
33570,음성군,84534,2970,44389,1808,40145,1162,,충청북도,음성군,음성군,음성군,Chungcheongbuk-do,Eumseong-gun,Eumseong-gun,Eumseong-gun,Eumseong-gun Chungcheongbuk-do,2020
33580,단양군,25340,632,12828,363,12512,269,,충청북도,단양군,단양군,단양군,Chungcheongbuk-do,Danyang-gun,Danyang-gun,Danyang-gun,Danyang-gun Chungcheongbuk-do,2020
33590,증평군,35798,937,18561,561,17237,376,,충청북도,증평군,증평군,증평군,Chungcheongbuk-do,Jeungpyeong-gun,Jeungpyeong-gun,Jeungpyeong-gun,Jeungpyeong-gun Chungcheongbuk-do,2020
34010,천안시,638715,22283,324249,12916,314466,9367,,충청남도,천안시 ,천안시,,Chungcheongnam-do,Cheonan-si,,,,2020
34011,동남구,250628,7854,125516,4424,125112,3430,,충청남도,천안시 동남구,천안시,동남구,Chungcheongnam-do,Cheonan-si,Dongnam-gu,Dongnam-gu Cheonan-si,Dongnam-gu Cheonan-si Chungcheongnam-do,2020
34012,서북구,388087,14429,198733,8492,189354,5937,,충청남도,천안시 서북구,천안시,서북구,Chungcheongnam-do,Cheonan-si,Seobuk-gu,Seobuk-gu Cheonan-si,Seobuk-gu Cheonan-si Chungcheongnam-do,2020
34020,공주시,95615,2483,47313,1352,48302,1131,,충청남도,공주시,공주시,공주시,Chungcheongnam-do,Gongju-si,Gongju-si,Gongju-si,Gongju-si Chungcheongnam-do,2020
34030,보령시,90337,2558,45451,1502,44886,1056,,충청남도,보령시,보령시,보령시,Chungcheongnam-do,Boryeong-si,Boryeong-si,Boryeong-si,Boryeong-si Chungcheongnam-do,2020
34040,아산시,329647,9936,169907,5998,159740,3938,,충청남도,아산시,아산시,아산시,Chungcheongnam-do,Asan-si,Asan-si,Asan-si,Asan-si Chungcheongnam-do,2020
34050,서산시,168010,4369,87218,2682,80792,1687,,충청남도,서산시,서산시,서산시,Chungcheongnam-do,Seosan-si,Seosan-si,Seosan-si,Seosan-si Chungcheongnam-do,2020
34060,논산시,103162,2647,51033,1385,52129,1262,,충청남도,논산시,논산시,논산시,Chungcheongnam-do,Nonsan-si,Nonsan-si,Nonsan-si,Nonsan-si Chungcheongnam-do,2020
34070,계룡시,43760,652,21616,369,22144,283,,충청남도,계룡시,계룡시,계룡시,Chungcheongnam-do,Gyeryong-si,Gyeryong-si,Gyeryong-si,Gyeryong-si Chungcheongnam-do,2020
34080,당진시,161744,4642,85785,2863,75959,1779,,충청남도,당진시,당진시,당진시,Chungcheongnam-do,Dangjin-si,Dangjin-si,Dangjin-si,Dangjin-si Chungcheongnam-do,2020
34510,금산군,47027,1540,23361,797,23666,743,,충청남도,금산군,금산군,금산군,Chungcheongnam-do,Geumsan-gun,Geumsan-gun,Geumsan-gun,Geumsan-gun Chungcheongnam-do,2020
34530,부여군,56630,1297,28016,683,28614,614,,충청남도,부여군,부여군,부여군,Chungcheongnam-do,Buyeo-gun,Buyeo-gun,Buyeo-gun,Buyeo-gun Chungcheongnam-do,2020
34540,서천군,45628,1164,22400,652,23228,512,,충청남도,서천군,서천군,서천군,Chungcheongnam-do,Seocheon-gun,Seocheon-gun,Seocheon-gun,Seocheon-gun Chungcheongnam-do,2020
34550,청양군,27560,848,13927,468,13633,380,,충청남도,청양군,청양군,청양군,Chungcheongnam-do,Cheongyang-gun,Cheongyang-gun,Cheongyang-gun,Cheongyang-gun Chungcheongnam-do,2020
34560,홍성군,92678,1945,45945,1078,46733,867,,충청남도,홍성군,홍성군,홍성군,Chungcheongnam-do,Hongseong-gun,Hongseong-gun,Hongseong-gun,Hongseong-gun Chungcheongnam-do,2020
34570,예산군,73573,1890,36670,1023,36903,867,,충청남도,예산군,예산군,예산군,Chungcheongnam-do,Yesan-gun,Yesan-gun,Yesan-gun,Yesan-gun Chungcheongnam-do,2020
34580,태안군,56315,1717,28490,1000,27825,717,,충청남도,태안군,태안군,태안군,Chungcheongnam-do,Taean-gun,Taean-gun,Taean-gun,Taean-gun Chungcheongnam-do,2020
35010,전주시,625022,10305,306416,5464,318606,4841,,전라북도,전주시 ,전주시,,Jeollabuk-do,Jeonju-si,,,,2020
35011,완산구,317332,5385,154101,2816,163231,2569,,전라북도,전주시 완산구,전주시,완산구,Jeollabuk-do,Jeonju-si,Wansan-gu,Wansan-gu Jeonju-si,Wansan-gu Jeonju-si Jeollabuk-do,2020
35012,덕진구,307690,4920,152315,2648,155375,2272,,전라북도,전주시 덕진구,전주시,덕진구,Jeollabuk-do,Jeonju-si,Deokjin-gu,Deokjin-gu Jeonju-si,Deokjin-gu Jeonju-si Jeollabuk-do,2020
35020,군산시,248568,5384,124875,3106,123693,2278,,전라북도,군산시,군산시,군산시,Jeollabuk-do,Gunsan-si,Gunsan-si,Gunsan-si,Gunsan-si Jeollabuk-do,2020
35030,익산시,256902,5302,127455,3036,129447,2266,,전라북도,익산시,익산시,익산시,Jeollabuk-do,Iksan-si,Iksan-si,Iksan-si,Iksan-si Jeollabuk-do,2020
35040,정읍시,96156,2335,47502,1329,48654,1006,,전라북도,정읍시,정읍시,정읍시,Jeollabuk-do,Jeongeup-si,Jeongeup-si,Jeongeup-si,Jeongeup-si Jeollabuk-do,2020
35050,남원시,71355,1614,34730,844,36625,770,,전라북도,남원시,남원시,남원시,Jeollabuk-do,Namwon-si,Namwon-si,Namwon-si,Namwon-si Jeollabuk-do,2020
35060,김제시,74513,2196,36652,1235,37861,961,,전라북도,김제시,김제시,김제시,Jeollabuk-do,Gimje-si,Gimje-si,Gimje-si,Gimje-si Jeollabuk-do,2020
35510,완주군,92543,2159,47296,1211,45247,948,,전라북도,완주군,완주군,완주군,Jeollabuk-do,Wanju-gun,Wanju-gun,Wanju-gun,Wanju-gun Jeollabuk-do,2020
35520,진안군,21800,697,10938,407,10862,290,,전라북도,진안군,진안군,진안군,Jeollabuk-do,Jinan-gun,Jinan-gun,Jinan-gun,Jinan-gun Jeollabuk-do,2020
35530,무주군,21399,649,10648,381,10751,268,,전라북도,무주군,무주군,무주군,Jeollabuk-do,Muju-gun,Muju-gun,Muju-gun,Muju-gun Jeollabuk-do,2020
35540,장수군,19091,541,9481,314,9610,227,,전라북도,장수군,장수군,장수군,Jeollabuk-do,Jangsu-gun,Jangsu-gun,Jangsu-gun,Jangsu-gun Jeollabuk-do,2020
35550,임실군,23532,620,11700,354,11832,266,,전라북도,임실군,임실군,임실군,Jeollabuk-do,Imsil-gun,Imsil-gun,Imsil-gun,Imsil-gun Jeollabuk-do,2020
35560,순창군,24317,597,11858,334,12459,263,,전라북도,순창군,순창군,순창군,Jeollabuk-do,Sunchang-gun,Sunchang-gun,Sunchang-gun,Sunchang-gun Jeollabuk-do,2020
35570,고창군,47122,1326,23214,722,23908,604,,전라북도,고창군,고창군,고창군,Jeollabuk-do,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun Jeollabuk-do,2020
35580,부안군,44882,1259,22128,712,22754,547,,전라북도,부안군,부안군,부안군,Jeollabuk-do,Buan-gun,Buan-gun,Buan-gun,Buan-gun Jeollabuk-do,2020
36010,목포시,205966,4952,101680,2819,104286,2133,,전라남도,목포시,목포시,목포시,Jeollanam-do,Mokpo-si,Mokpo-si,Mokpo-si,Mokpo-si Jeollanam-do,2020
36020,여수시,254127,5500,128856,3313,125271,2187,,전라남도,여수시,여수시,여수시,Jeollanam-do,Yeosu-si,Yeosu-si,Yeosu-si,Yeosu-si Jeollanam-do,2020
36030,순천시,261968,4869,129634,2692,132334,2177,,전라남도,순천시,순천시,순천시,Jeollanam-do,Suncheon-si,Suncheon-si,Suncheon-si,Suncheon-si Jeollanam-do,2020
36040,나주시,107659,3058,53511,1660,54148,1398,,전라남도,나주시,나주시,나주시,Jeollanam-do,Naju-si,Naju-si,Naju-si,Naju-si Jeollanam-do,2020
36060,광양시,142184,3309,73791,2070,68393,1239,,전라남도,광양시,광양시,광양시,Jeollanam-do,Gwangyang-si,Gwangyang-si,Gwangyang-si,Gwangyang-si Jeollanam-do,2020
36510,담양군,40079,1121,19913,616,20166,505,,전라남도,담양군,담양군,담양군,Jeollanam-do,Damyang-gun,Damyang-gun,Damyang-gun,Damyang-gun Jeollanam-do,2020
36520,곡성군,24509,763,12124,436,12385,327,,전라남도,곡성군,곡성군,곡성군,Jeollanam-do,Gokseong-gun,Gokseong-gun,Gokseong-gun,Gokseong-gun Jeollanam-do,2020
36530,구례군,21984,602,10625,324,11359,278,,전라남도,구례군,구례군,구례군,Jeollanam-do,Gurye-gun,Gurye-gun,Gurye-gun,Gurye-gun Jeollanam-do,2020
36550,고흥군,55855,1476,27283,867,28572,609,,전라남도,고흥군,고흥군,고흥군,Jeollanam-do,Goheung-gun,Goheung-gun,Goheung-gun,Goheung-gun Jeollanam-do,2020
36560,보성군,34082,948,16486,515,17596,433,,전라남도,보성군,보성군,보성군,Jeollanam-do,Boseong-gun,Boseong-gun,Boseong-gun,Boseong-gun Jeollanam-do,2020
36570,화순군,55502,1132,26966,605,28536,527,,전라남도,화순군,화순군,화순군,Jeollanam-do,Hwasun-gun,Hwasun-gun,Hwasun-gun,Hwasun-gun Jeollanam-do,2020
36580,장흥군,32129,801,15550,447,16579,354,,전라남도,장흥군,장흥군,장흥군,Jeollanam-do,Jangheung-gun,Jangheung-gun,Jangheung-gun,Jangheung-gun Jeollanam-do,2020
36590,강진군,29717,738,14363,393,15354,345,,전라남도,강진군,강진군,강진군,Jeollanam-do,Gangjin-gun,Gangjin-gun,Gangjin-gun,Gangjin-gun Jeollanam-do,2020
36600,해남군,58465,1570,28901,865,29564,705,,전라남도,해남군,해남군,해남군,Jeollanam-do,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun Jeollanam-do,2020
36610,영암군,49199,2166,25422,1427,23777,739,,전라남도,영암군,영암군,영암군,Jeollanam-do,Yeongam-gun,Yeongam-gun,Yeongam-gun,Yeongam-gun Jeollanam-do,2020
36620,무안군,83717,1891,41772,1062,41945,829,,전라남도,무안군,무안군,무안군,Jeollanam-do,Muan-gun,Muan-gun,Muan-gun,Muan-gun Jeollanam-do,2020
36630,함평군,26905,861,13428,486,13477,375,,전라남도,함평군,함평군,함평군,Jeollanam-do,Hampyeong-gun,Hampyeong-gun,Hampyeong-gun,Hampyeong-gun Jeollanam-do,2020
36640,영광군,46831,1318,23205,762,23626,556,,전라남도,영광군,영광군,영광군,Jeollanam-do,Yeonggwang-gun,Yeonggwang-gun,Yeonggwang-gun,Yeonggwang-gun Jeollanam-do,2020
36650,장성군,37154,1130,18567,625,18587,505,,전라남도,장성군,장성군,장성군,Jeollanam-do,Jangseong-gun,Jangseong-gun,Jangseong-gun,Jangseong-gun Jeollanam-do,2020
36660,완도군,42621,1488,21573,879,21048,609,,전라남도,완도군,완도군,완도군,Jeollanam-do,Wando-gun,Wando-gun,Wando-gun,Wando-gun Jeollanam-do,2020
36670,진도군,26382,904,13157,551,13225,353,,전라남도,진도군,진도군,진도군,Jeollanam-do,Jindo-gun,Jindo-gun,Jindo-gun,Jindo-gun Jeollanam-do,2020
36680,신안군,32553,1626,17190,1042,15363,584,,전라남도,신안군,신안군,신안군,Jeollanam-do,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun Jeollanam-do,2020
37010,포항시,469466,10265,236401,5853,233065,4412,,경상북도,포항시 ,포항시,,Gyeongsangbuk-do,Pohang-si,,,,2020
37011,남구,215048,5340,110678,3198,104370,2142,,경상북도,포항시 남구,포항시,남구,Gyeongsangbuk-do,Pohang-si,Nam-gu,Nam-gu Pohang-si,Nam-gu Pohang-si Gyeongsangbuk-do,2020
37012,북구,254418,4925,125723,2655,128695,2270,,경상북도,포항시 북구,포항시,북구,Gyeongsangbuk-do,Pohang-si,Buk-gu,Buk-gu Pohang-si,Buk-gu Pohang-si Gyeongsangbuk-do,2020
37020,경주시,236185,6018,117680,3261,118505,2757,,경상북도,경주시,경주시,경주시,Gyeongsangbuk-do,Gyeongju-si,Gyeongju-si,Gyeongju-si,Gyeongju-si Gyeongsangbuk-do,2020
37030,김천시,128613,2595,63982,1433,64631,1162,,경상북도,김천시,김천시,김천시,Gyeongsangbuk-do,Gimcheon-si,Gimcheon-si,Gimcheon-si,Gimcheon-si Gyeongsangbuk-do,2020
37040,안동시,145615,2964,71779,1636,73836,1328,,경상북도,안동시,안동시,안동시,Gyeongsangbuk-do,Andong-si,Andong-si,Andong-si,Andong-si Gyeongsangbuk-do,2020
37050,구미시,390696,10044,200433,5788,190263,4256,,경상북도,구미시,구미시,구미시,Gyeongsangbuk-do,Gumi-si,Gumi-si,Gumi-si,Gumi-si Gyeongsangbuk-do,2020
37060,영주시,94112,1977,46527,984,47585,993,,경상북도,영주시,영주시,영주시,Gyeongsangbuk-do,Yeongju-si,Yeongju-si,Yeongju-si,Yeongju-si Gyeongsangbuk-do,2020
37070,영천시,92413,3036,46415,1723,45998,1313,,경상북도,영천시,영천시,영천시,Gyeongsangbuk-do,Yeongcheon-si,Yeongcheon-si,Yeongcheon-si,Yeongcheon-si Gyeongsangbuk-do,2020
37080,상주시,87338,1969,42848,971,44490,998,,경상북도,상주시,상주시,상주시,Gyeongsangbuk-do,Sangju-si,Sangju-si,Sangju-si,Sangju-si Gyeongsangbuk-do,2020
37090,문경시,63153,1487,30881,788,32272,699,,경상북도,문경시,문경시,문경시,Gyeongsangbuk-do,Mungyeong-si,Mungyeong-si,Mungyeong-si,Mungyeong-si Gyeongsangbuk-do,2020
37100,경산시,263600,5948,131850,3358,131750,2590,,경상북도,경산시,경산시,경산시,Gyeongsangbuk-do,Gyeongsan-si,Gyeongsan-si,Gyeongsan-si,Gyeongsan-si Gyeongsangbuk-do,2020
37520,의성군,45608,1267,22385,667,23223,600,,경상북도,의성군,의성군,의성군,Gyeongsangbuk-do,Uiseong-gun,Uiseong-gun,Uiseong-gun,Uiseong-gun Gyeongsangbuk-do,2020
37530,청송군,22132,642,11069,355,11063,287,,경상북도,청송군,청송군,청송군,Gyeongsangbuk-do,Cheongsong-gun,Cheongsong-gun,Cheongsong-gun,Cheongsong-gun Gyeongsangbuk-do,2020
37540,영양군,14536,424,7234,223,7302,201,,경상북도,영양군,영양군,영양군,Gyeongsangbuk-do,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun Gyeongsangbuk-do,2020
37550,영덕군,31340,1062,14841,549,16499,513,,경상북도,영덕군,영덕군,영덕군,Gyeongsangbuk-do,Yeongdeok-gun,Yeongdeok-gun,Yeongdeok-gun,Yeongdeok-gun Gyeongsangbuk-do,2020
37560,청도군,37302,1085,18082,551,19220,534,,경상북도,청도군,청도군,청도군,Gyeongsangbuk-do,Cheongdo-gun,Cheongdo-gun,Cheongdo-gun,Cheongdo-gun Gyeongsangbuk-do,2020
37570,고령군,27366,819,13729,447,13637,372,,경상북도,고령군,고령군,고령군,Gyeongsangbuk-do,Goryeong-gun,Goryeong-gun,Goryeong-gun,Goryeong-gun Gyeongsangbuk-do,2020
37580,성주군,37572,1104,19287,630,18285,474,,경상북도,성주군,성주군,성주군,Gyeongsangbuk-do,Seongju-gun,Seongju-gun,Seongju-gun,Seongju-gun Gyeongsangbuk-do,2020
37590,칠곡군,104390,2764,54060,1681,50330,1083,,경상북도,칠곡군,칠곡군,칠곡군,Gyeongsangbuk-do,Chilgok-gun,Chilgok-gun,Chilgok-gun,Chilgok-gun Gyeongsangbuk-do,2020
37600,예천군,52002,1032,25428,518,26574,514,,경상북도,예천군,예천군,예천군,Gyeongsangbuk-do,Yecheon-gun,Yecheon-gun,Yecheon-gun,Yecheon-gun Gyeongsangbuk-do,2020
37610,봉화군,26995,811,13588,439,13407,372,,경상북도,봉화군,봉화군,봉화군,Gyeongsangbuk-do,Bonghwa-gun,Bonghwa-gun,Bonghwa-gun,Bonghwa-gun Gyeongsangbuk-do,2020
37620,울진군,42707,1327,21507,759,21200,568,,경상북도,울진군,울진군,울진군,Gyeongsangbuk-do,Uljin-gun,Uljin-gun,Uljin-gun,Uljin-gun Gyeongsangbuk-do,2020
37630,울릉군,8056,601,4425,399,3631,202,,경상북도,울릉군,울릉군,울릉군,Gyeongsangbuk-do,Ulleung-gun,Ulleung-gun,Ulleung-gun,Ulleung-gun Gyeongsangbuk-do,2020
38030,진주시,330324,5108,162616,2708,167708,2400,,경상남도,진주시,진주시,진주시,Gyeongsangnam-do,Jinju-si,Jinju-si,Jinju-si,Jinju-si Gyeongsangnam-do,2020
38050,통영시,113847,2761,56836,1602,57011,1159,,경상남도,통영시,통영시,통영시,Gyeongsangnam-do,Tongyeong-si,Tongyeong-si,Tongyeong-si,Tongyeong-si Gyeongsangnam-do,2020
38060,사천시,101848,2558,51152,1438,50696,1120,,경상남도,사천시,사천시,사천시,Gyeongsangnam-do,Sacheon-si,Sacheon-si,Sacheon-si,Sacheon-si Gyeongsangnam-do,2020
38070,김해시,508835,8685,255187,4885,253648,3800,,경상남도,김해시,김해시,김해시,Gyeongsangnam-do,Gimhae-si,Gimhae-si,Gimhae-si,Gimhae-si Gyeongsangnam-do,2020
38080,밀양시,95098,2425,46361,1206,48737,1219,,경상남도,밀양시,밀양시,밀양시,Gyeongsangnam-do,Miryang-si,Miryang-si,Miryang-si,Miryang-si Gyeongsangnam-do,2020
38090,거제시,222916,4847,115759,3033,107157,1814,,경상남도,거제시,거제시,거제시,Gyeongsangnam-do,Geoje-si,Geoje-si,Geoje-si,Geoje-si Gyeongsangnam-do,2020
38100,양산시,339013,5760,168150,3143,170863,2617,,경상남도,양산시,양산시,양산시,Gyeongsangnam-do,Yangsan-si,Yangsan-si,Yangsan-si,Yangsan-si Gyeongsangnam-do,2020
38110,창원시,964219,14533,484318,8159,479901,6374,,경상남도,창원시 ,창원시 ,,Gyeongsangnam-do,Changwon-si,,,,2020
38111,의창구,204331,2730,103195,1514,101136,1216,,경상남도,창원시 의창구,창원시 ,의창구,Gyeongsangnam-do,Changwon-si,Uichang-gu,Uichang-gu Changwon-si,Uichang-gu Changwon-si Gyeongsangnam-do,2020
38112,성산구,234278,3541,118365,2113,115913,1428,,경상남도,창원시 성산구,창원시 ,성산구,Gyeongsangnam-do,Changwon-si,Seongsan-gu,Seongsan-gu Changwon-si,Seongsan-gu Changwon-si Gyeongsangnam-do,2020
38113,마산합포구,170229,3049,84065,1643,86164,1406,,경상남도,창원시 마산합포구,창원시 ,마산합포구,Gyeongsangnam-do,Changwon-si,Masanhappo-gu,Masanhappo-gu Changwon-si,Masanhappo-gu Changwon-si Gyeongsangnam-do,2020
38114,마산회원구,172602,2207,85583,1201,87019,1006,,경상남도,창원시 마산회원구,창원시 ,마산회원구,Gyeongsangnam-do,Changwon-si,Masanhoewon-gu,Masanhoewon-gu Changwon-si,Masanhoewon-gu Changwon-si Gyeongsangnam-do,2020
38115,진해구,182779,3006,93110,1688,89669,1318,,경상남도,창원시 진해구,창원시 ,진해구,Gyeongsangnam-do,Changwon-si,Jinhae-gu,Jinhae-gu Changwon-si,Jinhae-gu Changwon-si Gyeongsangnam-do,2020
38510,의령군,23105,768,11318,410,11787,358,,경상남도,의령군,의령군,의령군,Gyeongsangnam-do,Uiryeong-gun,Uiryeong-gun,Uiryeong-gun,Uiryeong-gun Gyeongsangnam-do,2020
38520,함안군,55775,1539,28268,910,27507,629,,경상남도,함안군,함안군,함안군,Gyeongsangnam-do,Haman-gun,Haman-gun,Haman-gun,Haman-gun Gyeongsangnam-do,2020
38530,창녕군,52573,1621,26108,874,26465,747,,경상남도,창녕군,창녕군,창녕군,Gyeongsangnam-do,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun Gyeongsangnam-do,2020
38540,고성군,44969,1265,22263,686,22706,579,,경상남도,고성군,고성군,고성군,Gyeongsangnam-do,Goseong-gun,Goseong-gun,Goseong-gun,Goseong-gun Gyeongsangnam-do,2020
38550,남해군,37458,796,18144,422,19314,374,,경상남도,남해군,남해군,남해군,Gyeongsangnam-do,Namhae-gun,Namhae-gun,Namhae-gun,Namhae-gun Gyeongsangnam-do,2020
38560,하동군,37573,1076,18652,576,18921,500,,경상남도,하동군,하동군,하동군,Gyeongsangnam-do,Hadong-gun,Hadong-gun,Hadong-gun,Hadong-gun Gyeongsangnam-do,2020
38570,산청군,30666,1129,15185,567,15481,562,,경상남도,산청군,산청군,산청군,Gyeongsangnam-do,Sancheong-gun,Sancheong-gun,Sancheong-gun,Sancheong-gun Gyeongsangnam-do,2020
38580,함양군,33901,970,16387,512,17514,458,,경상남도,함양군,함양군,함양군,Gyeongsangnam-do,Hamyang-gun,Hamyang-gun,Hamyang-gun,Hamyang-gun Gyeongsangnam-do,2020
38590,거창군,55668,1097,27153,559,28515,538,,경상남도,거창군,거창군,거창군,Gyeongsangnam-do,Geochang-gun,Geochang-gun,Geochang-gun,Geochang-gun Gyeongsangnam-do,2020
38600,합천군,37571,1038,18253,559,19318,479,,경상남도,합천군,합천군,합천군,Gyeongsangnam-do,Hapcheon-gun,Hapcheon-gun,Hapcheon-gun,Hapcheon-gun Gyeongsangnam-do,2020
39010,제주시,467537,14236,231409,7678,236128,6558,,제주특별자치도,제주시,제주시,제주시,Jeju,Jeju-si,Jeju-si,Jeju-si,Jeju-si Jeju,2020
39020,서귀포시,169555,5903,84606,3228,84949,2675,,제주특별자치도,서귀포시,서귀포시,서귀포시,Jeju,Seogwipo-si,Seogwipo-si,Seogwipo-si,Seogwipo-si Jeju,2020
