sido_kr,sigungu_kr,sigungu_1_kr,sigungu_2_kr,sido_en,sigun_en,sigungu_1_en,sigungu_2_en,sdsgg_en,base_year,tax_exclude
충청남도,천안시 동남구,천안시,동남구,Chungcheongnam-do,Cheonan-si,Dongnam-gu,Dongnam-gu Cheonan-si,Dongnam-gu Cheonan-si Chungcheongnam-do,2020,
충청남도,천안시 서북구,천안시,서북구,Chungcheongnam-do,Cheonan-si,Seobuk-gu,Seobuk-gu Cheonan-si,Seobuk-gu Cheonan-si Chungcheongnam-do,2020,
충청남도,공주시,공주시,공주시,Chungcheongnam-do,Gongju-si,Gongju-si,Gongju-si,Gongju-si Chungcheongnam-do,2020,
충청남도,보령시,보령시,보령시,Chungcheongnam-do,Boryeong-si,Boryeong-si,Boryeong-si,Boryeong-si Chungcheongnam-do,2020,
충청남도,아산시,아산시,아산시,Chungcheongnam-do,Asan-si,Asan-si,Asan-si,Asan-si Chungcheongnam-do,2020,
충청남도,서산시,서산시,서산시,Chungcheongnam-do,Seosan-si,Seosan-si,Seosan-si,Seosan-si Chungcheongnam-do,2020,
충청남도,논산시,논산시,논산시,Chungcheongnam-do,Nonsan-si,Nonsan-si,Nonsan-si,Nonsan-si Chungcheongnam-do,2020,
충청남도,계룡시,계룡시,계룡시,Chungcheongnam-do,Gyeryong-si,Gyeryong-si,Gyeryong-si,Gyeryong-si Chungcheongnam-do,2020,
충청남도,당진시,당진시,당진시,Chungcheongnam-do,Dangjin-si,Dangjin-si,Dangjin-si,Dangjin-si Chungcheongnam-do,2020,
충청남도,금산군,금산군,금산군,Chungcheongnam-do,Geumsan-gun,Geumsan-gun,Geumsan-gun,Geumsan-gun Chungcheongnam-do,2020,
충청남도,부여군,부여군,부여군,Chungcheongnam-do,Buyeo-gun,Buyeo-gun,Buyeo-gun,Buyeo-gun Chungcheongnam-do,2020,
충청남도,서천군,서천군,서천군,Chungcheongnam-do,Seocheon-gun,Seocheon-gun,Seocheon-gun,Seocheon-gun Chungcheongnam-do,2020,
충청남도,청양군,청양군,청양군,Chungcheongnam-do,Cheongyang-gun,Cheongyang-gun,Cheongyang-gun,Cheongyang-gun Chungcheongnam-do,2020,
충청남도,홍성군,홍성군,홍성군,Chungcheongnam-do,Hongseong-gun,Hongseong-gun,Hongseong-gun,Hongseong-gun Chungcheongnam-do,2020,
충청남도,예산군,예산군,예산군,Chungcheongnam-do,Yesan-gun,Yesan-gun,Yesan-gun,Yesan-gun Chungcheongnam-do,2020,
충청남도,태안군,태안군,태안군,Chungcheongnam-do,Taean-gun,Taean-gun,Taean-gun,Taean-gun Chungcheongnam-do,2020,
전라북도,전주시 완산구,전주시,완산구,Jeollabuk-do,Jeonju-si,Wansan-gu,Wansan-gu Jeonju-si,Wansan-gu Jeonju-si Jeollabuk-do,2020,
전라북도,전주시 덕진구,전주시,덕진구,Jeollabuk-do,Jeonju-si,Deokjin-gu,Deokjin-gu Jeonju-si,Deokjin-gu Jeonju-si Jeollabuk-do,2020,
전라북도,군산시,군산시,군산시,Jeollabuk-do,Gunsan-si,Gunsan-si,Gunsan-si,Gunsan-si Jeollabuk-do,2020,
전라북도,익산시,익산시,익산시,Jeollabuk-do,Iksan-si,Iksan-si,Iksan-si,Iksan-si Jeollabuk-do,2020,
