"year","sggcd","type","class1","class2","unit","value"
2010,"4200310","environment","organic_matter","discharge","kg_day",46
2010,"4200311","environment","organic_matter","discharge","kg_day",36
2010,"4200312","environment","organic_matter","discharge","kg_day",76
2010,"4200313","environment","organic_matter","discharge","kg_day",72
2010,"4200314","environment","organic_matter","discharge","kg_day",65
2010,"4200315","environment","organic_matter","discharge","kg_day",209
2010,"4200316","environment","organic_matter","discharge","kg_day",230
2010,"4200317","environment","organic_matter","discharge","kg_day",98
2010,"4200318","environment","organic_matter","discharge","kg_day",112
2010,"4200319","environment","organic_matter","discharge","kg_day",222
2010,"4200321","environment","organic_matter","discharge","kg_day",549
2010,"4200322","environment","organic_matter","discharge","kg_day",422
2010,"4200323","environment","organic_matter","discharge","kg_day",127
2015,"4200002","environment","organic_matter","discharge","kg_day",3438
2015,"4200003","environment","organic_matter","discharge","kg_day",128
2015,"4200004","environment","organic_matter","discharge","kg_day",551
2015,"4200005","environment","organic_matter","discharge","kg_day",63
2015,"4200006","environment","organic_matter","discharge","kg_day",332
2015,"4200007","environment","organic_matter","discharge","kg_day",56
2015,"4200008","environment","organic_matter","discharge","kg_day",66
2015,"4200009","environment","organic_matter","discharge","kg_day",86
2015,"4200010","environment","organic_matter","discharge","kg_day",70
2015,"4200011","environment","organic_matter","discharge","kg_day",57
2015,"4200012","environment","organic_matter","discharge","kg_day",87
2015,"4200013","environment","organic_matter","discharge","kg_day",105
2015,"4200014","environment","organic_matter","discharge","kg_day",67
2015,"4200015","environment","organic_matter","discharge","kg_day",51
2015,"4200016","environment","organic_matter","discharge","kg_day",74
2015,"4200017","environment","organic_matter","discharge","kg_day",78
2015,"4200018","environment","organic_matter","discharge","kg_day",180
2015,"4200019","environment","organic_matter","discharge","kg_day",125
2015,"4200020","environment","organic_matter","discharge","kg_day",222
2015,"4200021","environment","organic_matter","discharge","kg_day",231
2015,"4200022","environment","organic_matter","discharge","kg_day",35
2015,"4200023","environment","organic_matter","discharge","kg_day",57
2015,"4200024","environment","organic_matter","discharge","kg_day",165
2015,"4200025","environment","organic_matter","discharge","kg_day",225
2015,"4200026","environment","organic_matter","discharge","kg_day",182
2015,"4200027","environment","organic_matter","discharge","kg_day",145
2015,"4200029","environment","organic_matter","discharge","kg_day",2364
2015,"4200030","environment","organic_matter","discharge","kg_day",7
2015,"4200031","environment","organic_matter","discharge","kg_day",77
2015,"4200032","environment","organic_matter","discharge","kg_day",26
2015,"4200033","environment","organic_matter","discharge","kg_day",60
2015,"4200034","environment","organic_matter","discharge","kg_day",78
2015,"4200035","environment","organic_matter","discharge","kg_day",56
2015,"4200036","environment","organic_matter","discharge","kg_day",95
2015,"4200037","environment","organic_matter","discharge","kg_day",57
2015,"4200038","environment","organic_matter","discharge","kg_day",87
2015,"4200039","environment","organic_matter","discharge","kg_day",475
2015,"4200040","environment","organic_matter","discharge","kg_day",104
2015,"4200041","environment","organic_matter","discharge","kg_day",429
